OrderID,Week,Order_Date,Customer_Name,Customer_Age,Country,City,Product,Units_Sold,Price_INR,Marketing_Spend_INR,Discount_Percentage,Payment_Method,Shipping_Status,Delivery_Time_Days,Revenue_INR,Discount_Amount_INR,Final_Amount_INR
44,8,2023-01-02 19:00:00,Emma Brown,26,UK,Hyderabad,Wireless Mouse,6,52134,5641,29,Net Banking,Shipped,5,312804,90713.0,222091.0
45,15,2023-01-02 20:00:00,Arjun Reddy,18,France,New York,Drone,45,68847,21852,20,Cash on Delivery,Pending,13,3098115,619623.0,2478492.0
46,3,2023-01-02 21:00:00,Emily Johnson,28,France,Kolkata,Drone,33,40993,4171,27,Cash on Delivery,Delivered,13,1352769,365248.0,987521.0
47,14,2023-01-02 22:00:00,Emma Brown,20,Japan,Dubai,Keyboard,23,45333,28812,12,Net Banking,Returned,7,1042659,125119.0,917540.0
48,17,2023-01-02 23:00:00,James Smith,40,India,New York,Smart TV,23,59865,7792,0,UPI,Delivered,6,1376895,0.0,1376895.0
49,4,2023-01-03 00:00:00,Diya Iyer,43,China,Chennai,Earbuds,26,50756,15938,0,Debit Card,Returned,5,1319656,0.0,1319656.0
50,18,2023-01-03 01:00:00,Chen Wei,21,China,Hyderabad,Keyboard,13,62192,23885,14,Cash on Delivery,Pending,8,808496,113189.0,695307.0
51,8,2023-01-03 02:00:00,Arjun Reddy,35,Singapore,New York,Smartwatch,7,61686,12731,0,Cash on Delivery,Pending,14,431802,0.0,431802.0
52,4,2023-01-03 03:00:00,James Smith,23,Singapore,New York,Router,15,49733,18982,5,Cash on Delivery,Delivered,1,745995,37300.0,708695.0
53,2,2023-01-03 04:00:00,Liam Walker,52,Canada,Kolkata,Bluetooth Speaker,44,26993,15011,24,Credit Card,Shipped,7,1187692,285046.0,902646.0
54,6,2023-01-03 05:00:00,Suresh Kumar,39,Germany,Tokyo,Drone,27,31492,11609,25,UPI,Delivered,12,850284,212571.0,637713.0
55,10,2023-01-03 06:00:00,Sophia Davis,32,Japan,Hyderabad,Earbuds,26,21981,8944,12,UPI,Delivered,6,571506,68581.0,502925.0
56,4,2023-01-03 07:00:00,Aditi Verma,39,Canada,Dubai,Wireless Mouse,33,25143,21945,26,UPI,Pending,11,829719,215727.0,613992.0
57,18,2023-01-03 08:00:00,Haruto Tanaka,54,Canada,Chennai,Tablet,15,78603,16105,27,UPI,Returned,5,1179045,318342.0,860703.0
58,12,2023-01-03 09:00:00,James Smith,59,USA,Hyderabad,DSLR Camera,36,61277,13526,0,UPI,Delivered,7,2205972,0.0,2205972.0
59,2,2023-01-03 10:00:00,Aarav Patel,29,USA,Berlin,Smartwatch,45,50990,9821,4,Net Banking,Shipped,3,2294550,91782.0,2202768.0
60,10,2023-01-03 11:00:00,Aditi Verma,59,Italy,Mumbai,DSLR Camera,27,63888,20148,8,Cash on Delivery,Pending,1,1724976,137998.0,1586978.0
61,4,2023-01-03 12:00:00,Chen Wei,55,Canada,Berlin,Power Bank,5,70351,5935,29,Net Banking,Delivered,9,351755,102009.0,249746.0
62,14,2023-01-03 13:00:00,Diya Iyer,35,Australia,Tokyo,Power Bank,2,50999,8993,24,Credit Card,Delivered,2,101998,24480.0,77518.0
63,16,2023-01-03 14:00:00,Fatima Khan,52,Germany,Mumbai,Tablet,33,71309,7191,16,Debit Card,Shipped,13,2353197,376512.0,1976685.0
64,15,2023-01-03 15:00:00,James Smith,47,Japan,Chennai,Power Bank,16,13446,27053,15,Cash on Delivery,Delivered,10,215136,32270.0,182866.0
65,8,2023-01-03 16:00:00,Suresh Kumar,41,Canada,Kolkata,Gaming Console,23,31733,3263,7,Credit Card,Delivered,3,729859,51090.0,678769.0
66,14,2023-01-03 17:00:00,Aditi Verma,59,UAE,Kolkata,Wireless Mouse,38,77000,20889,16,Net Banking,Delivered,8,2926000,468160.0,2457840.0
67,8,2023-01-03 18:00:00,Haruto Tanaka,47,China,Chennai,Drone,16,49632,3741,14,Debit Card,Delivered,12,794112,111176.0,682936.0
68,16,2023-01-03 19:00:00,Emma Brown,31,Germany,Bangalore,Keyboard,14,22576,3557,23,Credit Card,Shipped,10,316064,72695.0,243369.0
69,13,2023-01-03 20:00:00,James Smith,23,USA,Chennai,Smart TV,29,4320,17434,0,Debit Card,Delivered,9,125280,0.0,125280.0
70,18,2023-01-03 21:00:00,Rahul Sharma,20,Italy,Berlin,Smartwatch,26,11750,6074,11,Credit Card,Delivered,13,305500,33605.0,271895.0
71,15,2023-01-03 22:00:00,Diya Iyer,33,China,Tokyo,DSLR Camera,35,54463,5911,4,Net Banking,Delivered,3,1906205,76248.0,1829957.0
72,13,2023-01-03 23:00:00,Chen Wei,24,USA,Delhi,Tablet,15,27572,2087,23,Debit Card,Pending,6,413580,95123.0,318457.0
73,9,2023-01-04 00:00:00,Sophia Davis,31,USA,Kolkata,Gaming Console,3,18948,10514,5,Credit Card,Shipped,7,56844,2842.0,54002.0
74,15,2023-01-04 01:00:00,Suresh Kumar,26,Germany,London,Tablet,23,39826,6420,24,Net Banking,Pending,1,915998,219840.0,696158.0
75,13,2023-01-04 02:00:00,Yuki Nakamura,32,USA,Tokyo,Keyboard,29,28867,22144,0,Cash on Delivery,Pending,14,837143,0.0,837143.0
76,1,2023-01-04 03:00:00,Yuki Nakamura,38,UAE,Paris,Router,34,61231,28293,24,Net Banking,Shipped,7,2081854,499645.0,1582209.0
77,7,2023-01-04 04:00:00,Aarav Patel,52,France,Tokyo,Router,33,67262,12188,0,Net Banking,Pending,4,2219646,0.0,2219646.0
78,9,2023-01-04 05:00:00,Aditi Verma,19,Italy,Tokyo,Gaming Console,41,73233,4909,9,Cash on Delivery,Pending,5,3002553,270230.0,2732323.0
79,1,2023-01-04 06:00:00,Suresh Kumar,44,India,New York,Fitness Band,41,45678,29355,9,Net Banking,Pending,8,1872798,168552.0,1704246.0
80,12,2023-01-04 07:00:00,Arjun Reddy,19,France,Tokyo,Wireless Mouse,23,13963,6283,2,Cash on Delivery,Shipped,4,321149,6423.0,314726.0
81,8,2023-01-04 08:00:00,Haruto Tanaka,52,India,Kolkata,Power Bank,7,65360,1212,16,Cash on Delivery,Delivered,4,457520,73203.0,384317.0
82,11,2023-01-04 09:00:00,Sophia Davis,35,Singapore,Delhi,Power Bank,3,50434,27251,18,Cash on Delivery,Returned,8,151302,27234.0,124068.0
83,19,2023-01-04 10:00:00,Emma Brown,31,Singapore,Delhi,Wireless Mouse,32,67617,5906,27,Credit Card,Returned,5,2163744,584211.0,1579533.0
84,17,2023-01-04 11:00:00,James Smith,37,USA,Tokyo,Wireless Mouse,31,21269,24874,10,Debit Card,Shipped,13,659339,65934.0,593405.0
85,8,2023-01-04 12:00:00,James Smith,35,Japan,Paris,Earbuds,18,77312,24304,28,Credit Card,Returned,6,1391616,389652.0,1001964.0
86,3,2023-01-04 13:00:00,Yuki Nakamura,27,Japan,Mumbai,Laptop,43,78225,29148,17,Cash on Delivery,Shipped,12,3363675,571825.0,2791850.0
87,3,2023-01-04 14:00:00,James Smith,42,India,Kolkata,Wireless Mouse,7,38528,12541,1,Debit Card,Shipped,11,269696,2697.0,266999.0
88,1,2023-01-04 15:00:00,Chen Wei,19,China,Kolkata,Tablet,41,79972,23727,8,Debit Card,Returned,14,3278852,262308.0,3016544.0
89,5,2023-01-04 16:00:00,Sophia Davis,42,Germany,Paris,Earbuds,1,66602,2933,23,Cash on Delivery,Pending,5,66602,15318.0,51284.0
90,10,2023-01-04 17:00:00,Rahul Sharma,50,USA,Hyderabad,Fitness Band,14,34332,3801,16,Debit Card,Delivered,1,480648,76904.0,403744.0
91,7,2023-01-04 18:00:00,Fatima Khan,53,Germany,Berlin,Smartwatch,32,79929,17154,27,Debit Card,Returned,7,2557728,690587.0,1867141.0
92,9,2023-01-04 19:00:00,Aarav Patel,48,France,Paris,Earbuds,6,70206,26870,13,Credit Card,Returned,6,421236,54761.0,366475.0
93,7,2023-01-04 20:00:00,Emily Johnson,31,Japan,Paris,Smartphone,39,3251,29982,3,Debit Card,Returned,2,126789,3804.0,122985.0
94,9,2023-01-04 21:00:00,Liam Walker,18,Australia,Dubai,Power Bank,10,46717,27538,28,Cash on Delivery,Returned,11,467170,130808.0,336362.0
95,8,2023-01-04 22:00:00,Aarav Patel,33,Italy,Bangalore,Keyboard,7,28027,29369,16,UPI,Shipped,7,196189,31390.0,164799.0
96,12,2023-01-04 23:00:00,Aditi Verma,20,France,Paris,Smartphone,26,10583,12086,16,UPI,Shipped,6,275158,44025.0,231133.0
97,2,2023-01-05 00:00:00,Rahul Sharma,52,Italy,Bangalore,Tablet,34,51387,17963,11,UPI,Delivered,5,1747158,192187.0,1554971.0
98,1,2023-01-05 01:00:00,Aarav Patel,58,UAE,Mumbai,DSLR Camera,30,24104,27954,27,Cash on Delivery,Delivered,8,723120,195242.0,527878.0
99,16,2023-01-05 02:00:00,Emma Brown,23,France,Bangalore,DSLR Camera,36,13224,5822,19,UPI,Returned,5,476064,90452.0,385612.0
100,5,2023-01-05 03:00:00,Yuki Nakamura,42,India,Hyderabad,Wireless Mouse,21,61624,14432,17,Credit Card,Returned,11,1294104,219998.0,1074106.0
101,3,2023-01-05 04:00:00,Diya Iyer,30,UAE,Paris,Smartwatch,17,57058,29799,2,Cash on Delivery,Returned,2,969986,19400.0,950586.0
102,12,2023-01-05 05:00:00,Aditi Verma,51,UK,Paris,Earbuds,33,30299,25679,10,Cash on Delivery,Delivered,6,999867,99987.0,899880.0
103,8,2023-01-05 06:00:00,James Smith,25,France,Chennai,Router,10,79572,5757,24,Cash on Delivery,Returned,14,795720,190973.0,604747.0
104,3,2023-01-05 07:00:00,Suresh Kumar,38,UAE,Bangalore,DSLR Camera,47,78928,14233,17,Debit Card,Pending,12,3709616,630635.0,3078981.0
105,1,2023-01-05 08:00:00,Emma Brown,51,USA,Kolkata,Gaming Console,42,74474,24866,3,Debit Card,Delivered,1,3127908,93837.0,3034071.0
106,3,2023-01-05 09:00:00,Aditi Verma,21,Italy,Paris,Wireless Mouse,12,5141,13868,16,Debit Card,Pending,5,61692,9871.0,51821.0
107,5,2023-01-05 10:00:00,Diya Iyer,42,Canada,Berlin,Gaming Console,16,24350,10277,17,Net Banking,Returned,14,389600,66232.0,323368.0
108,15,2023-01-05 11:00:00,Haruto Tanaka,32,Canada,Chennai,Drone,41,76082,11749,4,Credit Card,Shipped,6,3119362,124774.0,2994588.0
109,14,2023-01-05 12:00:00,James Smith,21,USA,Bangalore,Smartwatch,32,71871,23098,13,Cash on Delivery,Pending,7,2299872,298983.0,2000889.0
110,3,2023-01-05 13:00:00,Aarav Patel,29,UK,Kolkata,Smart TV,15,6077,21890,9,Cash on Delivery,Delivered,14,91155,8204.0,82951.0
111,1,2023-01-05 14:00:00,Aarav Patel,49,UK,Kolkata,Keyboard,27,47015,20869,14,Debit Card,Pending,2,1269405,177717.0,1091688.0
112,5,2023-01-05 15:00:00,Aditi Verma,49,India,Tokyo,Power Bank,28,72147,13381,0,Cash on Delivery,Delivered,1,2020116,0.0,2020116.0
113,14,2023-01-05 16:00:00,Suresh Kumar,45,Japan,Delhi,Earbuds,17,60180,10087,15,Cash on Delivery,Returned,6,1023060,153459.0,869601.0
114,7,2023-01-05 17:00:00,Haruto Tanaka,30,Germany,Mumbai,Fitness Band,46,41857,28764,10,UPI,Pending,3,1925422,192542.0,1732880.0
115,9,2023-01-05 18:00:00,James Smith,48,Italy,Hyderabad,Keyboard,2,60840,9291,22,Cash on Delivery,Shipped,5,121680,26770.0,94910.0
116,15,2023-01-05 19:00:00,Diya Iyer,31,UK,New York,Wireless Mouse,36,60902,9205,19,Net Banking,Pending,12,2192472,416570.0,1775902.0
117,15,2023-01-05 20:00:00,Fatima Khan,37,Australia,Paris,Tablet,7,6577,22875,5,Debit Card,Shipped,11,46039,2302.0,43737.0
118,10,2023-01-05 21:00:00,Aarav Patel,35,India,Dubai,Bluetooth Speaker,13,21002,23111,23,Credit Card,Delivered,13,273026,62796.0,210230.0
119,13,2023-01-05 22:00:00,Diya Iyer,46,Singapore,Bangalore,Bluetooth Speaker,15,51711,9758,28,Credit Card,Returned,2,775665,217186.0,558479.0
120,19,2023-01-05 23:00:00,Rahul Sharma,23,China,Bangalore,Fitness Band,25,40451,8333,21,UPI,Returned,1,1011275,212368.0,798907.0
121,7,2023-01-06 00:00:00,Aarav Patel,49,Singapore,Chennai,Bluetooth Speaker,23,50103,19770,15,Credit Card,Shipped,1,1152369,172855.0,979514.0
122,17,2023-01-06 01:00:00,Diya Iyer,46,India,Chennai,DSLR Camera,22,29647,14745,29,Credit Card,Delivered,13,652234,189148.0,463086.0
123,20,2023-01-06 02:00:00,Arjun Reddy,19,Italy,Dubai,Smart TV,26,35831,19537,1,Debit Card,Returned,11,931606,9316.0,922290.0
124,4,2023-01-06 03:00:00,Yuki Nakamura,40,UAE,Bangalore,Drone,33,67830,29981,0,Debit Card,Delivered,4,2238390,0.0,2238390.0
125,5,2023-01-06 04:00:00,Liam Walker,36,France,London,Smart TV,11,37833,16254,23,Net Banking,Shipped,10,416163,95717.0,320446.0
126,7,2023-01-06 05:00:00,Sophia Davis,48,Germany,Hyderabad,Drone,10,25398,9780,23,UPI,Shipped,13,253980,58415.0,195565.0
127,13,2023-01-06 06:00:00,Yuki Nakamura,22,China,Bangalore,Earbuds,25,62554,13077,8,Credit Card,Pending,2,1563850,125108.0,1438742.0
128,15,2023-01-06 07:00:00,Chen Wei,36,Singapore,Paris,Earbuds,37,51755,21748,21,Net Banking,Returned,1,1914935,402136.0,1512799.0
129,11,2023-01-06 08:00:00,Liam Walker,51,China,Delhi,Smart TV,48,18706,3014,11,UPI,Returned,6,897888,98768.0,799120.0
130,4,2023-01-06 09:00:00,Emma Brown,27,Australia,Dubai,Smartwatch,43,23340,4469,16,Credit Card,Pending,14,1003620,160579.0,843041.0
131,13,2023-01-06 10:00:00,Diya Iyer,42,Australia,Paris,Earbuds,38,65994,20168,29,Credit Card,Shipped,4,2507772,727254.0,1780518.0
132,7,2023-01-06 11:00:00,Liam Walker,19,UAE,London,Smartwatch,41,64884,24624,24,Debit Card,Shipped,10,2660244,638459.0,2021785.0
133,19,2023-01-06 12:00:00,Chen Wei,28,Australia,Hyderabad,Wireless Mouse,45,18482,5066,27,Cash on Delivery,Shipped,13,831690,224556.0,607134.0
134,2,2023-01-06 13:00:00,James Smith,48,India,Bangalore,Smartphone,24,55225,2696,28,UPI,Shipped,12,1325400,371112.0,954288.0
135,10,2023-01-06 14:00:00,Fatima Khan,32,Germany,New York,Gaming Console,40,59849,29259,14,Credit Card,Delivered,7,2393960,335154.0,2058806.0
136,13,2023-01-06 15:00:00,Arjun Reddy,26,Italy,Tokyo,Fitness Band,46,75854,17673,29,UPI,Returned,11,3489284,1011892.0,2477392.0
137,6,2023-01-06 16:00:00,Rahul Sharma,40,UAE,Paris,Power Bank,33,42256,20359,18,Net Banking,Returned,6,1394448,251001.0,1143447.0
138,12,2023-01-06 17:00:00,Diya Iyer,36,India,Delhi,Wireless Mouse,17,15650,11845,26,Net Banking,Shipped,5,266050,69173.0,196877.0
139,12,2023-01-06 18:00:00,Rahul Sharma,26,Canada,New York,Keyboard,24,47118,26740,21,Cash on Delivery,Shipped,10,1130832,237475.0,893357.0
140,20,2023-01-06 19:00:00,Suresh Kumar,52,France,Berlin,Earbuds,37,29930,1809,9,Credit Card,Shipped,12,1107410,99667.0,1007743.0
141,11,2023-01-06 20:00:00,Aarav Patel,38,France,Chennai,Smart TV,2,12801,1364,28,Debit Card,Returned,13,25602,7169.0,18433.0
142,7,2023-01-06 21:00:00,Diya Iyer,26,Australia,Paris,Gaming Console,32,52360,12555,25,Credit Card,Returned,12,1675520,418880.0,1256640.0
143,1,2023-01-06 22:00:00,Sophia Davis,45,Canada,Chennai,Drone,24,17559,5889,26,UPI,Shipped,12,421416,109568.0,311848.0
144,1,2023-01-06 23:00:00,Diya Iyer,24,UK,Bangalore,Gaming Console,9,33334,20247,11,Net Banking,Delivered,12,300006,33001.0,267005.0
145,20,2023-01-07 00:00:00,Aditi Verma,33,UK,Chennai,Laptop,4,14288,12216,13,UPI,Pending,2,57152,7430.0,49722.0
146,13,2023-01-07 01:00:00,Fatima Khan,33,Italy,Berlin,Keyboard,17,23398,12478,8,Cash on Delivery,Pending,5,397766,31821.0,365945.0
147,9,2023-01-07 02:00:00,Aditi Verma,50,Australia,Delhi,Wireless Mouse,17,77230,25099,26,Net Banking,Pending,9,1312910,341357.0,971553.0
148,3,2023-01-07 03:00:00,Diya Iyer,21,Singapore,Hyderabad,Router,48,13191,3503,12,Debit Card,Returned,9,633168,75980.0,557188.0
149,7,2023-01-07 04:00:00,Arjun Reddy,21,India,Kolkata,Smart TV,30,19051,14674,2,Net Banking,Returned,2,571530,11431.0,560099.0
150,6,2023-01-07 05:00:00,Liam Walker,56,Australia,Mumbai,Power Bank,40,62715,25386,20,Credit Card,Pending,7,2508600,501720.0,2006880.0
151,8,2023-01-07 06:00:00,Rahul Sharma,57,Japan,Dubai,Smart TV,11,11737,14272,28,Credit Card,Pending,10,129107,36150.0,92957.0
152,9,2023-01-07 07:00:00,Arjun Reddy,34,China,Hyderabad,Earbuds,21,66140,18115,13,Net Banking,Delivered,14,1388940,180562.0,1208378.0
153,5,2023-01-07 08:00:00,Diya Iyer,54,Italy,Kolkata,Drone,21,26251,8459,20,Cash on Delivery,Returned,4,551271,110254.0,441017.0
154,1,2023-01-07 09:00:00,Chen Wei,56,France,London,Tablet,18,51975,12480,9,Credit Card,Returned,13,935550,84200.0,851350.0
155,19,2023-01-07 10:00:00,Liam Walker,46,UK,Paris,Smartphone,29,6147,19595,15,Credit Card,Pending,13,178263,26739.0,151524.0
156,10,2023-01-07 11:00:00,Chen Wei,53,USA,Paris,Smartwatch,24,51508,7081,6,Debit Card,Delivered,3,1236192,74172.0,1162020.0
157,12,2023-01-07 12:00:00,Rahul Sharma,55,UK,Delhi,Fitness Band,10,53224,24589,3,Net Banking,Delivered,11,532240,15967.0,516273.0
158,15,2023-01-07 13:00:00,Liam Walker,56,Italy,Paris,Fitness Band,45,20643,29877,26,Credit Card,Pending,1,928935,241523.0,687412.0
159,9,2023-01-07 14:00:00,Sophia Davis,54,France,New York,Tablet,17,39967,17305,19,Cash on Delivery,Pending,3,679439,129093.0,550346.0
160,20,2023-01-07 15:00:00,Fatima Khan,52,Italy,Kolkata,Fitness Band,18,41733,10465,22,UPI,Returned,11,751194,165263.0,585931.0
161,17,2023-01-07 16:00:00,Yuki Nakamura,24,China,Delhi,Keyboard,42,35808,12260,24,Net Banking,Pending,9,1503936,360945.0,1142991.0
162,17,2023-01-07 17:00:00,Haruto Tanaka,44,France,Tokyo,Smartphone,48,68288,15422,10,Debit Card,Shipped,14,3277824,327782.0,2950042.0
163,20,2023-01-07 18:00:00,Emma Brown,45,USA,New York,Tablet,20,59959,1446,15,Credit Card,Delivered,9,1199180,179877.0,1019303.0
164,12,2023-01-07 19:00:00,Arjun Reddy,39,Australia,Paris,Fitness Band,37,2849,26262,19,Cash on Delivery,Pending,7,105413,20028.0,85385.0
165,7,2023-01-07 20:00:00,Aarav Patel,31,Canada,Chennai,Fitness Band,45,69178,18718,3,Net Banking,Shipped,3,3113010,93390.0,3019620.0
166,2,2023-01-07 21:00:00,Arjun Reddy,24,USA,Berlin,Smartwatch,18,68136,2064,21,Cash on Delivery,Delivered,13,1226448,257554.0,968894.0
167,3,2023-01-07 22:00:00,Haruto Tanaka,54,France,Chennai,Drone,17,61740,7832,21,Cash on Delivery,Shipped,3,1049580,220412.0,829168.0
168,17,2023-01-07 23:00:00,Yuki Nakamura,39,France,New York,Drone,9,45565,5444,22,Debit Card,Shipped,4,410085,90219.0,319866.0
169,5,2023-01-08 00:00:00,Emily Johnson,22,Japan,London,Router,14,21183,16557,16,Net Banking,Pending,7,296562,47450.0,249112.0
170,17,2023-01-08 01:00:00,James Smith,19,UAE,Paris,Fitness Band,49,2132,14377,12,Credit Card,Delivered,7,104468,12536.0,91932.0
171,17,2023-01-08 02:00:00,Sophia Davis,44,Japan,London,DSLR Camera,29,39259,10639,10,Debit Card,Shipped,12,1138511,113851.0,1024660.0
172,17,2023-01-08 03:00:00,Chen Wei,38,Germany,London,Smart TV,31,64668,1808,29,Credit Card,Returned,12,2004708,581365.0,1423343.0
173,2,2023-01-08 04:00:00,Diya Iyer,55,Japan,Kolkata,Tablet,4,39563,19870,2,UPI,Delivered,14,158252,3165.0,155087.0
174,2,2023-01-08 05:00:00,Sophia Davis,32,India,Dubai,Earbuds,18,11931,17270,8,Cash on Delivery,Returned,2,214758,17181.0,197577.0
175,5,2023-01-08 06:00:00,Haruto Tanaka,38,Canada,Kolkata,Power Bank,20,74169,23015,5,UPI,Pending,12,1483380,74169.0,1409211.0
